"Observation Time UTC" RA(deg) DEC(deg) Observatory PGW ObsInfo ZenIni ZenEnd Duration Delay
"2016-12-27 20:16:19.844081" 124.4531 7.1808 North 0.1141 True 65.8912 65.7088 50 35393
"2016-12-27 20:17:29.844081" 122.3437 2.9855 North 0.0807 True 65.8545 65.6744 50 35463
"2016-12-27 20:18:39.844081" 126.5625 10.1999 North 0.0905 True 65.8255 65.6424 50 35533
"2016-12-27 20:19:49.844081" 127.9687 12.6356 North 0.037 True 65.715 65.5319 50 35603
"2016-12-27 20:20:59.844081" 129.375 15.0948 North 0.0164 True 65.6299 65.4473 50 35673
"2016-12-27 20:22:09.844081" 121.6406 0.0 North 0.0518 True 65.7882 65.5754 60 35743
"2016-12-27 20:23:29.844081" 125.1562 5.3794 North 0.1353 True 65.8039 65.586 60 35823
"2016-12-27 20:24:49.844081" 127.2656 8.3855 North 0.0787 True 65.9222 65.7029 60 35903
"2016-12-27 20:26:09.844081" 120.9375 -2.9855 North 0.0267 True 65.9588 65.75 60 35983
"2016-12-27 20:27:29.844081" 124.4531 2.388 North 0.1037 True 65.8158 65.6003 60 36063
"2016-12-27 20:28:49.844081" 126.5625 5.3794 North 0.0506 True 65.8648 65.6469 60 36143
"2016-12-27 20:30:09.844081" 129.375 10.1999 North 0.0295 True 65.7648 65.5451 60 36223
"2016-12-27 20:31:29.844081" 131.4844 13.248 North 0.0091 True 65.9662 65.7466 60 36303
"2016-12-27 20:32:49.844081" 124.4531 0.0 North 0.0492 True 65.9078 65.6949 60 36383
"2016-12-27 20:34:09.844081" 126.5625 2.9855 North 0.0276 True 65.892 65.6759 60 36463
"2016-12-27 20:35:29.844081" 128.6719 5.9792 North 0.0208 True 65.9566 65.7383 60 36543
"2016-12-27 20:36:49.844081" 123.0469 -3.5833 North 0.0187 True 65.8216 65.6139 60 36623
"2016-12-27 20:38:09.844081" 125.8594 0.0 North 0.0072 True 65.9676 65.7546 60 36703
"2016-12-27 20:39:29.844081" 122.3437 -5.3794 North 0.0064 True 65.7054 65.501 60 36783
